attributes,importance
iso3,0.18490739916777565
data_id,3.0910424533583143
indicator,2.460908652849275
precision,1.055604448817733
dhs_country_code,0
country_name,0.18490739916777565
survey_year,0.8454652292345646
survey_id,0.8454652292345646
indicator_id,2.460908652849275
indicator_order,1.882303162426787
indicator_type,1.2945451658448963
characteristic_id,0.6890092384766584
characteristic_order,0.6890092384766584
characteristic_category,0.6890092384766584
characteristic_label,0.6890092384766584
by_variable_id,0.18490739916777565
by_variable_label,0
is_total,0
is_preferred,0
sdrid,2.3741112662636183
survey_year_label,0.6890092384766584
survey_type,0
denominator_weighted,0
denominator_unweighted,0
