attributes,importance
iso3,0.12169240267806192
data_id,3.6011047291706
indicator,3.455179006947453
precision,0.6300305964883215
dhs_country_code,0
country_name,0.12169240267806192
survey_year,0.12169240267806192
survey_id,0.12169240267806192
indicator_id,3.6011047291706
indicator_order,3.1633275625011605
indicator_type,0.6605788876520755
characteristic_id,0.6424220210762543
characteristic_order,0.6424220210762543
characteristic_category,0.6424220210762543
characteristic_label,0.6424220210762543
by_variable_id,0.12169240267806192
by_variable_label,0
is_total,0
is_preferred,0
sdrid,3.5646232986148134
survey_year_label,0
survey_type,0
denominator_weighted,1.3048532845710898
denominator_unweighted,1.0936916265054473
