attributes,importance
iso3,0.17884491271684766
data_id,3.1354942159291497
indicator,2.653304872930928
precision,0.17884491271684766
dhs_country_code,0
country_name,0.17884491271684766
survey_year,0.8058274790573101
survey_id,0.8058274790573101
indicator_id,2.653304872930927
indicator_order,1.9793088072120355
indicator_type,0
characteristic_id,0.6846162778013047
characteristic_order,0.6846162778013047
characteristic_category,0.6846162778013047
characteristic_label,0.6846162778013047
by_variable_id,0.17884491271684766
by_variable_label,0
is_total,0
is_preferred,0
sdrid,2.5702812857620376
survey_year_label,0.6460905050608088
survey_type,0
denominator_weighted,2.0050683555949265
denominator_unweighted,1.545628931890815
