attributes,importance
iso3,0.10296666046541247
data_id,3.5551913546632727
indicator,3.201243858207131
precision,0.5551729973900299
dhs_country_code,0
country_name,0.10296666046541247
survey_year,0.6990623538531127
survey_id,0.6990623538531127
indicator_id,3.201243858207131
indicator_order,1.2902210708539221
indicator_type,0.9527185603229906
characteristic_id,0
characteristic_order,0
characteristic_category,0
characteristic_label,0
by_variable_id,0.10296666046541247
by_variable_label,0
is_total,0
is_preferred,0
sdrid,3.160615294273419
survey_year_label,0.6065122946041335
survey_type,0
denominator_weighted,0
denominator_unweighted,0
