attributes,importance
iso3,0.048528655406080645
data_id,4.53733875773399
indicator,4.069966325384107
precision,0.6940994777362146
dhs_country_code,0
country_name,0.048528655406080645
survey_year,0.4573436691625963
survey_id,0.4573436691625963
indicator_id,4.339296706145437
indicator_order,1.3977878849731944
indicator_type,1.0735710407059118
characteristic_id,0.6829081047004717
characteristic_order,0.6829081047004717
characteristic_category,0.6829081047004717
characteristic_label,0.6829081047004717
by_variable_id,0.048528655406080645
by_variable_label,0
is_total,0
is_preferred,0
sdrid,4.323250130474139
survey_year_label,0
survey_type,0
denominator_weighted,2.571405051726952
denominator_unweighted,2.5525309340388898
