attributes,importance
iso3,0.09359996324581532
data_id,3.944135416172499
indicator,3.1396952818116364
precision,0.5998522392944108
dhs_country_code,0
country_name,0.09359996324581532
survey_year,0.7292566514322858
survey_id,0.7292566514322858
indicator_id,3.1396952818116364
indicator_order,2.317379257471868
indicator_type,0
characteristic_id,0
characteristic_order,0
characteristic_category,0.4555869118836413
characteristic_label,0.4555869118836413
by_variable_id,1.2177782253817173
by_variable_label,0.8359636428714512
is_total,0
is_preferred,0
sdrid,3.085528975622601
survey_year_label,0.6452954146294236
survey_type,0
denominator_weighted,2.337310615208611
denominator_unweighted,2.3994962164539753
