attributes,importance
iso3,0.04921271968375329
data_id,4.251113186094092
indicator,3.189846497599401
precision,0.4469736086896736
dhs_country_code,0
country_name,0.04921271968375329
survey_year,0.7001051810311072
survey_id,0.7001051810311072
indicator_id,3.3624629546069853
indicator_order,0.9841125046678423
indicator_type,0.4938129359272896
characteristic_id,0
characteristic_order,0
characteristic_category,0.320452791770224
characteristic_label,0.320452791770224
by_variable_id,0.7195251235210165
by_variable_label,0.5996155464853574
is_total,0
is_preferred,0.5529476931080293
sdrid,3.3410782356523603
survey_year_label,0.656079287250317
survey_type,0
denominator_weighted,1.677361552503692
denominator_unweighted,1.6773615525036902
