value_log,value_log_scaled,precision_scaled,characteristic_order_scaled,indicator_order_scaled,data_quality_score_scaled,is_preferred,high_precision,indicator_encoded,survey_cohort,dataset_source_encoded,char_order_quintile,indicator_importance,sample_size_tier,by_var_0,by_var_14000,by_var_14001,by_var_14002,by_var_Other,type_D,type_I,type_S,type_T,type_U,char_Five year periods,char_Source of vaccination information,char_Total,char_Total 15-49
3.3843902633457743,-0.3025654774956998,0.6602681824085275,-0.32273957024573297,-0.6631591444176369,-1.5980361824647868,0,1,4,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
3.4339872044851463,-0.28215839306278034,0.6602681824085275,-0.32273957024573297,-0.6631591444176369,-1.5980361824647868,0,1,4,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
3.342861804649192,-0.3196527160132665,0.6602681824085275,-0.32273957024573297,-0.6631591444176369,0.6249303506845532,1,1,4,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
4.213607983048918,0.03862322548706754,0.6602681824085275,-0.32273957024573297,-0.6631589919559647,-1.5980361824647868,0,1,6,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
4.189654742026425,0.02876746017657248,0.6602681824085275,-0.32273957024573297,-0.6631589919559647,-1.5980361824647868,0,1,6,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
4.239886867512759,0.049435896626393305,0.6602681824085275,-0.32273957024573297,-0.6631589919559647,0.6249303506845532,1,1,6,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.09531017980432487,-1.655885529691039,0.6602681824085275,-0.32273957024573297,-0.6631582296476038,-1.5980361824647868,0,1,8,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0.09531017980432487,-1.655885529691039,0.6602681824085275,-0.32273957024573297,-0.6631582296476038,-1.5980361824647868,0,1,8,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.09531017980432487,-1.655885529691039,0.6602681824085275,-0.32273957024573297,-0.6631582296476038,0.6249303506845532,1,1,8,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.4700036292457355,-1.5017147142424492,0.6602681824085275,-0.32273957024573297,-0.6631580771859317,-1.5980361824647868,0,1,7,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0.5306282510621704,-1.476770196542351,0.6602681824085275,-0.32273957024573297,-0.6631580771859317,-1.5980361824647868,0,1,7,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.5306282510621704,-1.476770196542351,0.6602681824085275,-0.32273957024573297,-0.6631580771859317,0.6249303506845532,1,1,7,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.7884573603642702,-1.3706842105536798,0.6602681824085275,-0.32273957024573297,-0.6631579247242595,-1.5980361824647868,0,1,5,54,1,1,Low,Medium,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0.7419373447293773,-1.3898252677453775,0.6602681824085275,-0.32273957024573297,-0.6631579247242595,-1.5980361824647868,0,1,5,68,1,1,Low,Medium,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0.6418538861723948,-1.4310054603578932,0.6602681824085275,-0.32273957024573297,-0.6631579247242595,0.6249303506845532,1,1,5,44,1,1,Low,Medium,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1.3609765531356006,-1.1351163058008473,0.6602681824085275,-0.32273957024573297,-0.6631577722625873,-1.5980361824647868,0,1,123,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1.410986973710262,-1.114539091727805,0.6602681824085275,-0.32273957024573297,-0.6631577722625873,-1.5980361824647868,0,1,123,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1.308332819650179,-1.1567770189299535,0.6602681824085275,-0.32273957024573297,-0.6631577722625873,0.6249303506845532,1,1,123,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
4.61512051684126,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6631576198009151,-1.5980361824647868,0,1,9,54,1,1,Low,Medium,0,1,0,0,0,0,0,0,1,0,0,0,1,0
4.61512051684126,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6631576198009151,-1.5980361824647868,0,1,9,68,1,1,Low,Medium,0,0,1,0,0,0,0,0,1,0,0,0,1,0
4.61512051684126,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6631576198009151,0.6249303506845532,1,1,9,44,1,1,Low,Medium,0,0,0,1,0,0,0,0,1,0,0,0,1,0
4.565389315976247,0.18336665518366416,0.6602681824085275,-0.32273957024573297,-0.6631574673392429,-1.5980361824647868,0,1,3,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
4.564348191467836,0.18293827562516254,0.6602681824085275,-0.32273957024573297,-0.6631574673392429,-1.5980361824647868,0,1,3,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
4.571613402459248,0.18592760865092503,0.6602681824085275,-0.32273957024573297,-0.6631574673392429,0.6249303506845532,1,1,3,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
7.962763930168115,1.5812454156347453,-1.5125086116847326,-0.32273957024573297,-0.6631573148775707,-1.5980361824647868,0,1,178,54,1,1,Low,Medium,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8.3243363327069,1.7300174644288007,-1.5125086116847326,-0.32273957024573297,-0.6631573148775707,-1.5980361824647868,0,1,178,68,1,1,Low,Medium,0,0,1,0,0,1,0,0,0,0,0,0,1,0
7.606387389772652,1.4346112486338967,-1.5125086116847326,-0.32273957024573297,-0.6631573148775707,0.6249303506845532,1,1,178,44,1,1,Low,Medium,0,0,0,1,0,1,0,0,0,0,0,0,1,0
7.973844375944687,1.5858045595521388,-1.5125086116847326,-0.32273957024573297,-0.6631571624158985,-1.5980361824647868,0,1,179,44,1,1,Low,Medium,0,1,0,0,0,0,0,0,0,1,0,0,1,0
8.330622620332868,1.7326040110868342,-1.5125086116847326,-0.32273957024573297,-0.6631571624158985,-1.5980361824647868,0,1,179,44,1,1,Low,Medium,0,0,1,0,0,0,0,0,0,1,0,0,1,0
7.621684998724611,1.4409055803070365,-1.5125086116847326,-0.32273957024573297,-0.6631571624158985,0.6249303506845532,1,1,179,44,1,1,Low,Medium,0,0,0,1,0,0,0,0,0,1,0,0,1,0
4.350277936359301,0.09485724340383174,0.6602681824085275,-0.32273957024573297,-0.6600641724723152,-1.5980361824647868,0,1,199,59,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
4.3294166844015844,0.08627370336491623,0.6602681824085275,-0.32273957024573297,-0.6600641724723152,-1.5980361824647868,0,1,199,74,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
4.364371699435161,0.1006562424239206,0.6602681824085275,-0.32273957024573297,-0.6600641724723152,0.6249303506845532,1,1,199,46,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2.1972245773362196,-0.7910349240727125,0.6602681824085275,-0.32273957024573297,-0.660064020010643,-1.5980361824647868,0,1,198,59,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2.2512917986064953,-0.7687885047539217,0.6602681824085275,-0.32273957024573297,-0.660064020010643,-1.5980361824647868,0,1,198,74,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2.1400661634962708,-0.8145532409383794,0.6602681824085275,-0.32273957024573297,-0.660064020010643,0.6249303506845532,1,1,198,46,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2.6946271807700692,-0.5863743806552351,0.6602681824085275,-0.32273957024573297,-0.6600638675489708,-1.5980361824647868,0,1,194,59,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2.72785282839839,-0.5727034045645076,0.6602681824085275,-0.32273957024573297,-0.6600638675489708,-1.5980361824647868,0,1,194,74,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2.6741486494265287,-0.5948004470333098,0.6602681824085275,-0.32273957024573297,-0.6600638675489708,0.6249303506845532,1,1,194,46,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.09531017980432487,-1.655885529691039,0.6602681824085275,-0.32273957024573297,-0.6600637150872987,-1.5980361824647868,0,1,197,59,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0.18232155679395465,-1.6200839565282463,0.6602681824085275,-0.32273957024573297,-0.6600637150872987,-1.5980361824647868,0,1,197,74,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.09531017980432487,-1.655885529691039,0.6602681824085275,-0.32273957024573297,-0.6600637150872987,0.6249303506845532,1,1,197,46,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
