data_id,value,value_log,value_category,value_log_scaled,precision_scaled,characteristic_order_scaled,indicator_order_scaled,data_quality_score_scaled,is_preferred,high_precision,indicator_encoded,survey_cohort,dataset_source_encoded,char_order_quintile,indicator_importance,sample_size_tier,by_var_0,by_var_14000,by_var_14001,by_var_14002,by_var_Other,type_D,type_I,type_S,type_T,type_U,char_Five year periods,char_Source of vaccination information,char_Total,char_Total 15-49
751751,28.5,3.3843902633457743,Medium,-0.3025654774956998,0.6602681824085275,-0.32273957024573297,-0.6631591444176369,-1.5980361824647868,0,1,4,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
567476,30,3.4339872044851463,Medium,-0.28215839306278034,0.6602681824085275,-0.32273957024573297,-0.6631591444176369,-1.5980361824647868,0,1,4,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
205488,27.3,3.342861804649192,Medium,-0.3196527160132665,0.6602681824085275,-0.32273957024573297,-0.6631591444176369,0.6249303506845532,1,1,4,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
751748,66.6,4.213607983048918,Medium,0.03862322548706754,0.6602681824085275,-0.32273957024573297,-0.6631589919559647,-1.5980361824647868,0,1,6,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
567472,65,4.189654742026425,Medium,0.02876746017657248,0.6602681824085275,-0.32273957024573297,-0.6631589919559647,-1.5980361824647868,0,1,6,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
205485,68.4,4.239886867512759,Medium,0.049435896626393305,0.6602681824085275,-0.32273957024573297,-0.6631589919559647,0.6249303506845532,1,1,6,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
751753.26,0.1,0.09531017980432487,Low,-1.655885529691039,0.6602681824085275,-0.32273957024573297,-0.6631582296476038,-1.5980361824647868,0,1,8,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
567471,0.1,0.09531017980432487,Low,-1.655885529691039,0.6602681824085275,-0.32273957024573297,-0.6631582296476038,-1.5980361824647868,0,1,8,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
205487,0.1,0.09531017980432487,Low,-1.655885529691039,0.6602681824085275,-0.32273957024573297,-0.6631582296476038,0.6249303506845532,1,1,8,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
751752,0.6,0.4700036292457355,Low,-1.5017147142424492,0.6602681824085275,-0.32273957024573297,-0.6631580771859317,-1.5980361824647868,0,1,7,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
567479,0.7,0.5306282510621704,Low,-1.476770196542351,0.6602681824085275,-0.32273957024573297,-0.6631580771859317,-1.5980361824647868,0,1,7,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
205489,0.7,0.5306282510621704,Low,-1.476770196542351,0.6602681824085275,-0.32273957024573297,-0.6631580771859317,0.6249303506845532,1,1,7,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
751749,1.2,0.7884573603642702,Low,-1.3706842105536798,0.6602681824085275,-0.32273957024573297,-0.6631579247242595,-1.5980361824647868,0,1,5,54,1,1,Low,Medium,0,1,0,0,0,0,0,1,0,0,0,0,1,0
567473,1.1,0.7419373447293773,Low,-1.3898252677453775,0.6602681824085275,-0.32273957024573297,-0.6631579247242595,-1.5980361824647868,0,1,5,68,1,1,Low,Medium,0,0,1,0,0,0,0,1,0,0,0,0,1,0
205491,0.9,0.6418538861723948,Low,-1.4310054603578932,0.6602681824085275,-0.32273957024573297,-0.6631579247242595,0.6249303506845532,1,1,5,44,1,1,Low,Medium,0,0,0,1,0,0,0,1,0,0,0,0,1,0
751753,2.9,1.3609765531356006,Low,-1.1351163058008473,0.6602681824085275,-0.32273957024573297,-0.6631577722625873,-1.5980361824647868,0,1,123,54,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
567480,3.1,1.410986973710262,Low,-1.114539091727805,0.6602681824085275,-0.32273957024573297,-0.6631577722625873,-1.5980361824647868,0,1,123,68,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
205490,2.7,1.308332819650179,Low,-1.1567770189299535,0.6602681824085275,-0.32273957024573297,-0.6631577722625873,0.6249303506845532,1,1,123,44,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
751750,100,4.61512051684126,High,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6631576198009151,-1.5980361824647868,0,1,9,54,1,1,Low,Medium,0,1,0,0,0,0,0,0,1,0,0,0,1,0
567474,100,4.61512051684126,High,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6631576198009151,-1.5980361824647868,0,1,9,68,1,1,Low,Medium,0,0,1,0,0,0,0,0,1,0,0,0,1,0
