indicator_order,characteristic_id,characteristic_order,is_total,is_preferred,survey_year_label,denominator_weighted,denominator_unweighted,ci_low,ci_high
1,-0.9999994725670689,-0.9999994725670689,NA,NA,0.08335365928755084,-8.173453206762261e-17,0,-0.1479991079462665,-0.16004652822452603
-0.9999994725670689,1,1,NA,NA,-0.08333333333333333,8.184054685327877e-17,-1.8774917593848126e-20,0.14811504230886585,0.160171899873676
-0.9999994725670689,1,1,NA,NA,-0.08333333333333333,8.178553766850616e-17,1.6897425834463312e-20,0.14811504230886585,0.160171899873676
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.08335365928755084,-0.08333333333333333,-0.08333333333333333,NA,NA,1,-0.3027650354097492,-0.5244044240850758,0.27468607846371496,0.267902333270193
-8.173453206762261e-17,8.184054685327877e-17,8.178553766850616e-17,NA,NA,-0.3027650354097492,1,0.5773502691896257,1.2114619955448627e-17,1.3098722963325737e-17
0,-1.8774917593848126e-20,1.6897425834463312e-20,NA,NA,-0.5244044240850758,0.5773502691896257,1,-2.47337267929199e-21,0
-0.1479991079462665,0.14811504230886585,0.14811504230886585,NA,NA,0.27468607846371496,1.2114619955448627e-17,-2.47337267929199e-21,1,0.9987796239853993
-0.16004652822452603,0.160171899873676,0.160171899873676,NA,NA,0.267902333270193,1.3098722963325737e-17,0,0.9987796239853993,1
